Joueur,Équipe,Matchs,Minutes,Buts,Passes décisives,xG,xA,MinsPerMatch,GoalsPerMatch
Mohamed Salah,Liverpool,14,1237,13,8,10.4297836124897,5.341094482690096,88,0.9285714285714286
Erling Haaland,Manchester City,15,1350,13,1,14.533826172351837,1.5637084767222404,90,0.8666666666666667
Cole Palmer,Chelsea,15,1320,11,6,8.798088733106852,6.733940728008747,88,0.7333333333333333
Chris Wood,Nottingham Forest,15,1180,10,0,6.70914663374424,0.9723502080887556,78,0.6666666666666666
Bryan Mbeumo,Brentford,15,1349,9,2,4.238191209733486,3.6385874673724174,89,0.6
Yoane Wissa,Brentford,12,897,8,1,6.551508113741875,0.7739001102745533,74,0.6666666666666666
Nicolas Jackson,Chelsea,14,1154,8,3,7.861504662781954,1.8455277793109417,82,0.5714285714285714
Matheus Cunha,Wolverhampton Wanderers,15,1258,7,3,3.5051031298935413,3.8613430075347424,83,0.4666666666666667
Ollie Watkins,Aston Villa,15,1157,7,3,10.609676025807858,2.275160029530525,77,0.4666666666666667
Danny Welbeck,Brighton,14,1145,6,2,5.98893528431654,0.7173267938196659,81,0.42857142857142855
Jamie Vardy,Leicester,14,1167,6,3,4.760366067290306,2.0060974061489105,83,0.42857142857142855
Alexander Isak,Newcastle United,13,1059,6,3,5.803527195006609,2.5018039979040623,81,0.46153846153846156
Liam Delap,Ipswich,15,1144,6,1,6.038750857114792,1.2808282971382141,76,0.4
Brennan Johnson,Tottenham,15,1141,6,1,7.1367649883031845,1.373618584126234,76,0.4
Jørgen Strand Larsen,Wolverhampton Wanderers,15,1258,6,2,4.054215960204601,1.7200789023190737,83,0.4
Alex Iwobi,Fulham,15,1313,5,3,2.726556858047843,4.070341218262911,87,0.3333333333333333
Dominic Solanke,Tottenham,12,1072,5,2,7.700027767568827,1.6000905595719814,89,0.4166666666666667
Raúl Jiménez,Fulham,15,916,5,2,6.3293243534862995,2.8686302825808525,61,0.3333333333333333
Kai Havertz,Arsenal,14,1245,5,2,7.419802024960518,2.0901169683784246,88,0.35714285714285715
Harvey Barnes,Newcastle United,15,697,5,1,2.24754923209548,2.2629400193691254,46,0.3333333333333333
James Maddison,Tottenham,15,983,5,4,3.9986314177513123,3.3152244947850704,65,0.3333333333333333
Justin Kluivert,Bournemouth,15,923,5,2,5.374869925901294,1.9347354359924793,61,0.3333333333333333
Bukayo Saka,Arsenal,14,1197,5,10,4.755031269043684,9.022476010024548,85,0.35714285714285715
Luis Díaz,Liverpool,14,793,5,2,3.825440177693963,2.2144341645762324,56,0.35714285714285715
Noni Madueke,Chelsea,14,976,5,2,6.46101138740778,1.1813532263040543,69,0.35714285714285715
Jhon Durán,Aston Villa,15,351,5,0,4.199308756738901,0.2346634343266487,23,0.3333333333333333
Son Heung-Min,Tottenham,12,946,4,4,3.023974908515811,5.177134243771434,78,0.3333333333333333
